Email,First Name,Last Name,Residential Address Street,Residential Address Locality,Residential Address State,Residential Address Postcode,Postal Address Street,Postal Address Locality,Postal Address State,Postal Address Postcode,Postal_co-ordinates,Residential_co-ordinates
colton_tromp@gmail.com,Darcy,Waters,8540 Charli Summit,AIRLIE BEACH,QLD,4802,376 Williamson Hill,ARTHUR RIVER,WA,6315,"(-20.272494000000002, 148.71814657732955)","(-33.3441135, 117.01571419732676)"
lindsay_bradtke@gmail.com,Georgia,Stewart,650 Harris Summit,ARCTURUS,QLD,4722,477 Jasmine Circle,ALDINGA,SA,5173,"(-23.975732999999998, 148.32711448169016)","(-35.2673234, 138.4831296)"
jaime_kuphal@yahoo.com,Joshua,Schmidt,53 Klein Circle,AMBLESIDE,TAS,7310,2979 Anthony Drive,AMOR,VIC,3825,"(-41.2050163, 146.3748003)","(-37.939795000000004, 146.4046230412041)"
odell.king@hotmail.com,Natalie,Smith,545 Summer Avenue,ALVIE,VIC,3249,5454 Koss Track,ANABRANCH SOUTH,NSW,2648,"(-38.2441811, 143.5155992)","(-33.6929151, 141.7057254)"
carlos@hotmail.com,Cameron,Schneider,46 Becker Summit,ALLANSFORD,VIC,3277,3137 Lakin Station St,ALLANS FLAT,VIC,3691,"(-38.3862028, 142.6001551)","(-36.2944155, 146.94292341122937)"
june@gmail.com,Oscar,King,727 Zoe Knoll,ADELAIDE RIVER,NT,846,71 Morissette Manor,AMHERST,VIC,3371,"(-13.2387657, 131.1070072)","(-37.139846500000004, 143.65653903202832)"
linsey.blanda@hotmail.com,Mia,Flatley,15 Hannah Circle,ARMADALE,WA,6112,696 Jenkins Parkway,AMBERLEY,QLD,4306,"(-32.1533106, 116.0130563)","(-27.6304065, 152.6980108651208)"
roger.prohaska@gmail.com,Charles,Wilson,85 Isaac Terrace,ALEXANDRA HILLS,QLD,3161,5414 Leannon Crest,ALSACE,QLD,4702,"(-27.5232672, 153.2214907)","(-23.287394, 149.2905304575663)"
arthur@yahoo.com,Owen,Carter,9300 Moss Run,ANKETELL,WA,6167,99 Levi Summit,ADARE,QLD,4343,"(-32.2197553, 115.8667368)","(-27.5123015, 152.28868017258898)"
barrett@yahoo.com,Ashley,Green,5023 Nader Lane,ANDAMOOKA,SA,5722,92 Bergstrom Run,ANTONYMYRE,WA,6714,"(-30.4534886, 137.16501576788045)","(-20.6267825, 117.07780048166553)"
salvatore_schuppe@gmail.com,Aidan,Kuhlman,201 Durgan Mall,ANNADALE,SA,5356,26 Cassin Knoll,ALEXANDRA HEADLAND,QLD,4572,"(-34.3891665, 139.3881387)","(-26.669601999999998, 153.10175199135801)"
karl@yahoo.com,Alexandra,Clarke,6591 Natalie Meadow,ARROWSMITH,WA,6525,8719 Adams Place,ANSONS BAY,TAS,7264,"(-29.554151, 115.11588485488761)","(-41.0372935, 148.2691093)"
karyn.kub@gmail.com,Samantha,Champlin,79 Eve Pass,ADARE,QLD,4343,67 Erdman Island,AUGATHELLA,QLD,4477,"(-27.5123015, 152.28868017258898)","(-25.7968515, 146.5891538)"
mackenzie_auer@gmail.com,Cameron,Haley,351 Heidi Court,ALPHINGTON,VIC,3078,460 Mccullough Manor,AIRVILLE,QLD,4807,"(-37.7783921, 145.0312833)","(-19.6372465, 147.35056619813304)"
lea.cummings@hotmail.com,Daniel,Braun,80 Ernser Avenue,ANNADALE,SA,5356,89 Eva Boulevard,AIRLY,VIC,3851,"(-34.3891665, 139.3881387)","(-38.025259, 147.10062811660103)"
julian@yahoo.com,Luke,Dare,544 Sanford Pass,AYLMERTON,NSW,2575,715 Tremblay Street,ARTHUR RIVER,TAS,7330,"(-34.4185998, 150.4953005)","(-41.0494219, 144.667346)"
sandee@yahoo.com,Blake,Feeney,2442 Grimes Island,ASHMONT,NSW,2650,174 Isabelle Track,AVISFORD,NSW,2850,"(-35.1244827, 147.3325101)","(-32.739771, 149.4823469)"
camille_hintz@yahoo.com,William,Walter,4945 Chloe Parkway,MILLERBURGH,NSW,1270,93 Maya Lane,NATESIDE,ACT,6202,,
twila_morar@yahoo.com,Bella,Lockman,8813 Emily Meadow,ARMSTRONG CREEK,VIC,3217,74 Ali Circuit,ALLWORTH,NSW,2425,"(-38.2341184, 144.3709512)","(-32.5399586, 151.9589534)"
